line_name,GrainYield,HeadingDate,PlantHeight
06AB-08,5689.054,57,76.264
06AB-32,5498.087,54,65.772
06MT-93,5407.212,58,76.102
06N2-02,6411.481,49,66.979
06N2-14,6588.089,54,66.348
06N2-15,4670.314,53,72.317
06N2-23,4087.939,51,74.389
06N2-26,3877.762,50,76.029
06N2-31,6646.342,53,75.264
06N2-35,6068.42,55,81.066
06N2-47,6412.228,53,66.811
06N2-49,4476.011,51,69.606
06N2-51,5359.524,52,63.869
06N2-53,5718.886,48,73.435
06N2-54,5112.577,49,73.422
06N2-56,5355.812,50,77.117
06N2-64,5534.292,58,64.955
06N2-67,5511.603,55,71.053
06N2-79,4204.847,55,88.952
06N2-81,5552.416,52,68.777
06WA-38,3888.933,60,72.009
06WA-39,5192.987,58,82.695
06WA-58,5305.673,57,77.892
06WA-90,6150.919,56,73.619
07AB-51,5360.373,55,79.119
07AB-55,4862.399,60,78.225
07AB-56,5480.194,58,76.661
07AB-59,4534.438,58,82.264
07AB-63,5366.604,56,78.608
07AB-80,5326.986,59,83.953
07AB-81,5384.956,55,76.668
07AB-84,4460.001,61,74.572
07AB-85,4901.522,58,78.408
07AB-89,4248.66,60,71.613
07AB-91,4786.817,57,76.29
07AB-92,4458.151,60,86.54
07AB-93,3250.449,57,82.797
07BA-94,5509.068,55,75.685
07MT-10,3424.659,56,75.032
07N2-01,5352.384,51,70.504
07N2-14,4751.455,57,79.921
07N2-16,5242.985,53,70.515
07N2-17,4951.521,54,72.174
07N2-19,4201.521,52,72.807
07N2-20,4500.788,53,79.961
07N2-21,5827.416,53,67.369
07N2-23,5840.558,53,72.992
07N2-25,5281.796,52,69.023
07N2-28,5486.795,55,70.216
07N2-29,5825.056,53,68.172
07N2-36,2962.558,49,69.448
07N2-37,4346.79,50,70.856
07N2-43,5136.285,51,71.654
07N2-45,5632.688,52,69.909
07N2-46,5351.307,51,71.88
07N2-47,4959.898,50,73.206
07N2-56,4729.12,49,61.356
07N2-64,5217.405,50,76.823
07N2-68,5039.993,54,73.529
07N2-83,5076.18,53,76.229
07WA-12,5509.64,57,75.338
07WA-45,4484.503,57,74.782
08AB-01,4668.822,61,77.462
08AB-02,6360.919,60,74.764
08AB-05,5216.497,61,79.52
08AB-07,3622.87,61,79.345
08AB-08,5934.587,63,80.738
08AB-09,5171.143,56,74.215
08AB-13,5226.202,59,78.987
08AB-17,4107.936,60,80.348
08AB-22,5248.254,58,78.961
08AB-23,5058.103,58,80.532
08AB-31,4322.585,60,76.895
08AB-34,5734.602,58,75.918
08AB-46,4210.217,58,80.303
08AB-48,5480.403,60,78.647
08MT-03,6048.524,56,71.076
08MT-11,4184.714,58,72.113
08MT-28,5448.052,58,77.395
08MT-31,5120.846,59,80.251
08MT-36,4816.051,61,76.856
08MT-60,4675.161,57,85.754
08MT-73,5500.092,58,77.054
08MT-79,5651.22,56,68.526
08N2-17,6575.198,56,76.143
08N2-20,5290.448,50,70.389
08N2-21,6085.61,51,69.457
08N2-22,6325.716,53,72.645
08N2-23,5364.936,56,70.203
08N2-27,5301.77,51,68.04
08N2-34,5060.465,50,69.987
08N2-36,3819.179,49,76.277
08N2-42,5603.859,50,69.059
08N2-47,4883.553,50,71.669
08N2-48,4035.017,50,73.46
08N2-49,5616.915,50,73.595
08N2-51,4655.111,49,67.501
08N2-52,5675.874,50,76.658
08N2-53,5330.368,49,77
08N2-54,5431.864,50,68.086
08N2-64,5070.666,55,82.8
08N2-66,5179.619,50,72.503
08N2-68,4862.741,52,65.852
08N2-69,6044.654,51,78.531
08N2-70,5324.823,53,75.84
08N2-71,5874.796,52,72.237
08N2-77,5288.969,53,79.632
08N2-78,6503.751,49,71.816
08N2-79,4860.639,51,73.29
08N2-82,4717.559,51,67.759
08N2-90,6124.973,50,75.909
08N2-93,5436.021,53,71.166
08N2-95,5687.457,57,75.373
08WA-02,6005.959,56,81.577
08WA-04,5461.674,56,69.584
08WA-11,5371.419,56,77.08
08WA-15,5630.768,54,68.014
08WA-16,5631.01,56,82.566
08WA-20,5758.955,55,73.015
08WA-21,5369.973,57,76.394
08WA-23,5709.695,57,70.069
08WA-24,4638.478,61,82.882
08WA-27,6040.438,55,74.441
08WA-32,4597.923,58,73.632
08WA-34,5016.75,57,77.211
08WA-46,5813.334,56,75.877
08WA-48,6521.616,56,74.461
08WA-53,4270.485,54,75.032
08WA-58,4600.645,58,75.971
09AB-25,5583.184,60,81.252
09AB-27,5985.186,58,80.358
09AB-29,5633.105,56,77.382
09AB-51,5586.169,59,75.146
09AB-54,5412.152,60,81.474
09AB-59,5469.459,57,81.619
09AB-87,4894.676,60,79.593
09MT-22,5293.331,55,74.593
09MT-34,5745.976,53,78.882
09MT-37,5055.132,54,79.737
09MT-62,5407.14,59,86.869
09MT-75,5456.121,58,79.78
09MT-76,5254.505,59,85.75
09MT-88,5644.757,58,84.47
09MT-92,5924.037,58,84.421
09N2-16,4244.493,56,79.185
09N2-18,5055.449,51,71.652
09N2-21,3709.264,53,72.869
09N2-29,6258.048,53,75.124
09N2-31,6673.134,53,73.807
09N2-37,5556.952,51,68.507
09N2-38,4318.589,53,71.926
09N2-39,5913.962,50,69.109
09N2-48,5504.678,54,75.978
09N2-51,5847.617,56,79.553
09N2-58,4626.134,53,78.443
09N2-60,5420.843,54,76.76
09N2-61,5956.615,57,85.795
09N2-62,5197.241,53,74.132
09N2-63,5791.281,54,79.767
09N2-64,6618.965,56,82.014
09N2-65,6454.864,58,85.224
09N2-66,5852.617,58,81.007
09N2-67,5917.562,58,80.252
09N2-68,5008.876,56,82.59
09N2-72,6108.956,53,78.79
09N2-83,5039.466,54,69.908
09N2-84,5474.906,53,74.79
09N2-90,5136.574,51,77.241
09N2-91,4812.285,57,78.049
09N2-93,5661.218,50,73.466
09N2-96,5774.731,55,86.062
09WA-10,4635.791,57,74.955
09WA-30,4275.809,58,77.679
09WA-39,5230.083,57,75.225